Method1,Method2,Wilcoxon_stat,p_value,Significant,Cliff's_delta,Effect_size
Banzhaf,Myerson,23.0,0.2333984375,✗,0.041666666666666664,negligible
Banzhaf,Owen-Data,0.0,0.00048828125,✓,-0.7638888888888888,large
Banzhaf,Owen-Domain,0.0,0.00048828125,✓,-0.5694444444444444,large
Banzhaf,Owen-Model,21.0,0.17626953125,✗,0.125,negligible
Banzhaf,R-Myerson,0.0,0.00048828125,✓,-0.7638888888888888,large
Banzhaf,SHAP,12.0,0.0341796875,✓,-0.09722222222222222,negligible
Myerson,Owen-Data,0.0,0.00048828125,✓,-0.7638888888888888,large
Myerson,Owen-Domain,0.0,0.00048828125,✓,-0.5833333333333334,large
Myerson,Owen-Model,29.0,0.458984375,✗,0.06944444444444445,negligible
Myerson,R-Myerson,0.0,0.00048828125,✓,-0.7638888888888888,large
Myerson,SHAP,7.0,0.0087890625,✓,-0.1527777777777778,small
Owen-Data,Owen-Domain,0.0,0.00048828125,✓,0.3333333333333333,medium
Owen-Data,Owen-Model,0.0,0.00048828125,✓,0.8333333333333334,large
Owen-Data,R-Myerson,33.0,0.6689453125,✗,-0.027777777777777776,negligible
Owen-Data,SHAP,0.0,0.00048828125,✓,0.7083333333333334,large
Owen-Domain,Owen-Model,0.0,0.00048828125,✓,0.5833333333333334,large
Owen-Domain,R-Myerson,0.0,0.00048828125,✓,-0.3333333333333333,medium
Owen-Domain,SHAP,0.0,0.00048828125,✓,0.4861111111111111,large
Owen-Model,R-Myerson,0.0,0.00048828125,✓,-0.8472222222222222,large
Owen-Model,SHAP,2.0,0.00146484375,✓,-0.2638888888888889,small
R-Myerson,SHAP,0.0,0.00048828125,✓,0.7361111111111112,large
