Model,Sampler,Method,AUC,CV,Stability,Kuncheva,Cosine,I,Q,S(α=0.5)
RF,None,SHAP,0.7362506998465616,0.5704474370626074,0.42955256293739263,0.8571428571428571,0.9911678128474816,0.7592877443092437,,0.8508014669618059
RF,None,Banzhaf,0.7362506998465616,0.8433286450746543,0.15667135492534567,0.14285714285714282,0.4550242474097453,0.25151758173074457,,0.5435393057085539
RF,None,Myerson,0.7362506998465616,0.5140762323593516,0.4859237676406484,0.5142857142857142,0.8251062233831291,0.6084385684364972,,0.759519530334097
RF,None,Owen-Domain,0.7362506998465616,0.3291684934854757,0.6708315065145243,0.657142857142857,0.970913395203335,0.7662959196202387,5.812261313827348,0.855042257877056
RF,None,Owen-Data,0.7362506998465616,0.6328559553428406,0.36714404465715944,0.6285714285714284,0.797517362376792,0.5977442785351266,28.573515204731436,0.7530481957218433
RF,None,Owen-Model,0.7362506998465616,0.4546001155700051,0.5453998844299949,0.028571428571428525,0.7933654925937611,0.45577893519839485,2.161999726352909,0.6671420487454333
RF,None,R-Myerson,0.7362506998465616,0.21046433614278445,0.7895356638572155,1.0,1.0,0.9298452212857384,,0.954009301639563
RF,SMOTE,SHAP,0.67826672988409,0.6248369409500714,0.37516305904992864,0.6857142857142856,0.9764065096682737,0.6790946181441626,,0.37283377818997276
RF,SMOTE,Banzhaf,0.67826672988409,0.9022151115693413,0.09778488843065869,0.028571428571428515,0.5383543266587624,0.22157021455361653,,0.09597635836943878
RF,SMOTE,Myerson,0.67826672988409,0.46462958992019276,0.5353704100798072,0.3714285714285714,0.9044553787211295,0.603751453409836,,0.327242080729116
RF,SMOTE,Owen-Domain,0.67826672988409,0.20514326959336388,0.7948567304066361,0.5428571428571428,0.970118441711023,0.7692774383249339,5.812261313827348,0.4274052561514675
RF,SMOTE,Owen-Data,0.67826672988409,0.3355375862749742,0.6644624137250258,0.2285714285714285,0.9236270788873004,0.6055536403945849,28.573515204731436,0.3283326211127897
RF,SMOTE,Owen-Model,0.67826672988409,0.24558026582470013,0.7544197341752998,0.11428571428571425,0.889399592477521,0.5860350136461783,2.156171556047476,0.3165214989134151
RF,SMOTE,R-Myerson,0.67826672988409,0.10361146348787464,0.8963885365121254,1.0,1.0,0.9654628455040417,,0.5461210781093653
RF,SMOTETomek,SHAP,0.67826672988409,0.6248369409500714,0.37516305904992864,0.6857142857142856,0.9764065096682737,0.6790946181441626,,0.37283377818997276
RF,SMOTETomek,Banzhaf,0.67826672988409,0.830739736479699,0.169260263520301,0.2285714285714285,0.5085771974939032,0.30213629652854423,,0.1447285503958774
RF,SMOTETomek,Myerson,0.67826672988409,0.46462958992019276,0.5353704100798072,0.3714285714285714,0.9044553787211295,0.603751453409836,,0.327242080729116
RF,SMOTETomek,Owen-Domain,0.67826672988409,0.20514326959336388,0.7948567304066361,0.5428571428571428,0.970118441711023,0.7692774383249339,5.812261313827348,0.4274052561514675
RF,SMOTETomek,Owen-Data,0.67826672988409,0.3355375862749742,0.6644624137250258,0.2285714285714285,0.9236270788873004,0.6055536403945849,28.573515204731436,0.3283326211127897
RF,SMOTETomek,Owen-Model,0.67826672988409,0.24558026582470013,0.7544197341752998,0.11428571428571425,0.889399592477521,0.5860350136461783,2.156171556047476,0.3165214989134151
RF,SMOTETomek,R-Myerson,0.67826672988409,0.10361146348787464,0.8963885365121254,1.0,1.0,0.9654628455040417,,0.5461210781093653
RF,CostSensitive,SHAP,0.7359174949592644,0.5671380809217006,0.4328619190782994,0.8571428571428571,0.991412597564285,0.7604724579284805,,0.8490505777518254
RF,CostSensitive,Banzhaf,0.7359174949592644,0.9995185045557874,0.0004814954442126096,0.3142857142857143,0.6765986355261729,0.33045528175203326,,0.5888383465781019
RF,CostSensitive,Myerson,0.7359174949592644,0.5214149507577233,0.47858504924227674,0.4857142857142857,0.8278949994349198,0.5973981114638274,,0.7503709391428028
RF,CostSensitive,Owen-Domain,0.7359174949592644,0.32116041578542304,0.6788395842145769,0.657142857142857,0.9714255551384076,0.769135998831947,5.812261313827348,0.8542930644087556
RF,CostSensitive,Owen-Data,0.7359174949592644,0.6490139774621413,0.3509860225378587,0.6285714285714284,0.7971543235673292,0.5922372582255387,28.573515204731436,0.7472480007805822
RF,CostSensitive,Owen-Model,0.7359174949592644,0.4538490225800401,0.5461509774199599,0.17142857142857137,0.8115767322144399,0.5097187603543237,2.16848100848858,0.6973143617685388
RF,CostSensitive,R-Myerson,0.7359174949592644,0.20999208152203547,0.7900079184779645,1.0,0.9999999999999999,0.9300026394926547,,0.9516367748622385
XGB,None,SHAP,0.7379572568108459,0.628914475440979,0.371085524559021,0.8571428571428571,0.9890475869178772,0.7390919923782349,,0.8512197134643781
XGB,None,Banzhaf,0.7379572568108459,0.8747193169607463,0.12528068303925366,0.39999999999999997,0.5715426551050653,0.3656077793814396,,0.6252167401966762
XGB,None,Myerson,0.7379572568108459,0.5589400521968361,0.44105994780316393,0.6285714285714286,0.7997263408596892,0.6231192390780939,,0.7810422169282702
XGB,None,Owen-Domain,0.7379572568108459,0.3466575946549957,0.6533424053450043,1.0,0.9723220628600123,0.8752214894016721,5.812261313827348,0.9335944698961782
XGB,None,Owen-Data,0.7379572568108459,0.6266412422875196,0.3733587577124804,0.6285714285714284,0.7953729439819881,0.5991010434219656,28.573515204731436,0.766508313106057
XGB,None,Owen-Model,0.7379572568108459,0.4646115810882692,0.5353884189117308,-0.028571428571428636,0.7615809774538419,0.422799322598048,1.8265459249359122,0.6598245184184364
XGB,None,R-Myerson,0.7379572568108459,0.25913826602494316,0.7408617339750568,1.0,0.9999999999999997,0.9136205779916855,,0.9568305475940257
XGB,SMOTE,SHAP,0.6704463099361703,0.8042857050895691,0.1957142949104309,0.5714285714285714,0.9692418575286865,0.5787949562072754,,0.2542207564564125
XGB,SMOTE,Banzhaf,0.6704463099361703,0.8619613545205377,0.13803864547946232,0.11428571428571423,0.4205921859113905,0.22430551522552233,,0.039711910122473396
XGB,SMOTE,Myerson,0.6704463099361703,0.2325098776101758,0.7674901223898242,0.4857142857142856,0.9598354070815601,0.7376799383952233,,0.35036532464026293
XGB,SMOTE,Owen-Domain,0.6704463099361703,0.08754630267416598,0.912453697325834,0.657142857142857,0.9927456688249036,0.8541140744311981,5.812261313827348,0.42082201335232955
XGB,SMOTE,Owen-Data,0.6704463099361703,0.16441428303936595,0.835585716960634,0.5428571428571428,0.96949742944759,0.7826467630884555,28.573515204731436,0.37757567443666834
XGB,SMOTE,Owen-Model,0.6704463099361703,0.21539563625438976,0.7846043637456103,-0.028571428571428626,0.9331592376955505,0.563064057623244,1.9154961960051355,0.24470166641606778
XGB,SMOTE,R-Myerson,0.6704463099361703,0.06246840902720473,0.9375315909727953,1.0,1.0,0.9791771969909318,,0.4965002791559911
XGB,SMOTETomek,SHAP,0.6704463099361703,0.8042857050895691,0.1957142949104309,0.5714285714285714,0.9692418575286865,0.5787949562072754,,0.2542207564564125
XGB,SMOTETomek,Banzhaf,0.6704463099361703,0.9964518207955081,0.003548179204491908,0.08571428571428567,0.38677474836347914,0.15867907109408555,,0.0
XGB,SMOTETomek,Myerson,0.6704463099361703,0.2325098776101758,0.7674901223898242,0.4857142857142856,0.9598354070815601,0.7376799383952233,,0.35036532464026293
XGB,SMOTETomek,Owen-Domain,0.6704463099361703,0.08754630267416598,0.912453697325834,0.657142857142857,0.9927456688249036,0.8541140744311981,5.812261313827348,0.42082201335232955
