Model,Sampler,Method,AUC,CV,Stability,Kuncheva,Cosine,I,Q,S(α=0.5)
RF,None,SHAP,0.7870857142857143,0.6470442579581146,0.3529557420418854,0.7473684210526316,0.9720420265241568,0.6907887298728912,,0.7169365326848498
RF,None,Banzhaf,0.7870857142857143,0.7123177155928767,0.2876822844071233,0.2421052631578948,0.48090794681371035,0.33689849812624284,,0.4770800011166653
RF,None,Myerson,0.7870857142857143,0.4717707974341805,0.5282292025658195,0.5578947368421052,0.866085508976222,0.6507364827947155,,0.6897902816615644
RF,None,Owen-Domain,0.7870857142857143,0.18196427283953792,0.8180357271604621,0.5578947368421052,0.9575851206230394,0.7778385282085355,1.9164156383074786,0.7759363603982219
RF,None,Owen-Data,0.7870857142857143,0.3460026145944739,0.6539973854055261,0.32631578947368417,0.847506005405329,0.6092730600948464,2.203572973733527,0.6616875767447019
RF,None,Owen-Model,0.7870857142857143,0.3199414382198257,0.6800585617801743,0.24210526315789474,0.7685241814201684,0.5635626687860791,1.8722368158450533,0.6307063997231374
RF,None,R-Myerson,0.7870857142857143,0.14652362304416267,0.8534763769558373,1.0,1.0,0.9511587923186124,,0.8934078068259558
RF,SMOTE,SHAP,0.784647619047619,0.6562499779276618,0.3437500220723382,0.6421052631578948,0.9640031855276957,0.6499528235859762,,0.5696330893521409
RF,SMOTE,Banzhaf,0.784647619047619,0.7746054667766439,0.22539453322335612,0.3263157894736842,0.5237561500065581,0.35848882423453277,,0.37208724691284645
RF,SMOTE,Myerson,0.784647619047619,0.514808926811155,0.485191073188845,0.30526315789473685,0.9001372813497147,0.5635305041444322,,0.5110585486279811
RF,SMOTE,Owen-Domain,0.784647619047619,0.16658394085399494,0.833416059146005,0.2631578947368421,0.9461795061294133,0.6809178200040867,1.9164156383074786,0.5906202655288102
RF,SMOTE,Owen-Data,0.784647619047619,0.35765937733414305,0.642340622665857,0.5368421052631578,0.838783325264087,0.6726553510643672,2.203572973733527,0.5850202038026371
RF,SMOTE,Owen-Model,0.784647619047619,0.2567034845959076,0.7432965154040925,0.28421052631578947,0.8227031067969026,0.6167367161722614,2.165175180640258,0.5471201754547221
RF,SMOTE,R-Myerson,0.784647619047619,0.11236811132684218,0.8876318886731578,1.0,1.0,0.9625439628910526,,0.78149829428478
RF,SMOTETomek,SHAP,0.7876380952380952,0.6752661532766272,0.3247338467233728,0.8736842105263158,0.9685228924404807,0.7223136498967231,,0.7654059859784028
RF,SMOTETomek,Banzhaf,0.7876380952380952,0.6552338811564071,0.3447661188435929,0.43157894736842106,0.5508005314314784,0.4423818658811641,,0.5756763445065962
RF,SMOTETomek,Myerson,0.7876380952380952,0.5383107050163545,0.4616892949836455,0.3473684210526316,0.906819512323853,0.5719590761200434,,0.6635000181490756
RF,SMOTETomek,Owen-Domain,0.7876380952380952,0.18164714294392814,0.8183528570560719,0.2631578947368421,0.9347143958598968,0.6720750492176035,1.9164156383074786,0.7313557200237343
RF,SMOTETomek,Owen-Data,0.7876380952380952,0.3605171310997443,0.6394828689002556,0.5368421052631578,0.8327962198431235,0.6697070646688456,2.203572973733527,0.7297507687995402
RF,SMOTETomek,Owen-Model,0.7876380952380952,0.24857948933648458,0.7514205106635155,0.28421052631578947,0.8354253852945078,0.6236854740912708,2.207800558110447,0.6985586699424835
RF,SMOTETomek,R-Myerson,0.7876380952380952,0.10532113516959499,0.894678864830405,1.0,1.0,0.9648929549434682,,0.9298192009223722
RF,CostSensitive,SHAP,0.7870857142857143,0.6470442579581146,0.3529557420418854,0.7473684210526316,0.9720420265241568,0.6907887298728912,,0.7169365326848498
RF,CostSensitive,Banzhaf,0.7870857142857143,0.7186259051681994,0.28137409483180065,0.3263157894736843,0.5077816305952602,0.37182383830024834,,0.5007513833885928
RF,CostSensitive,Myerson,0.7870857142857143,0.4717707974341805,0.5282292025658195,0.5578947368421052,0.866085508976222,0.6507364827947155,,0.6897902816615644
RF,CostSensitive,Owen-Domain,0.7870857142857143,0.18196427283953792,0.8180357271604621,0.5578947368421052,0.9575851206230394,0.7778385282085355,1.9164156383074786,0.7759363603982219
RF,CostSensitive,Owen-Data,0.7870857142857143,0.3460026145944739,0.6539973854055261,0.32631578947368417,0.847506005405329,0.6092730600948464,2.203572973733527,0.6616875767447019
RF,CostSensitive,Owen-Model,0.7870857142857143,0.3199414382198257,0.6800585617801743,0.24210526315789474,0.7685241814201684,0.5635626687860791,1.8722368158450533,0.6307063997231374
RF,CostSensitive,R-Myerson,0.7870857142857143,0.14652362304416267,0.8534763769558373,1.0,1.0,0.9511587923186124,,0.8934078068259558
XGB,None,SHAP,0.7889142857142857,0.652073860168457,0.34792613983154297,0.831578947368421,0.9643451571464539,0.7146167755126953,,0.8228060288158849
XGB,None,Banzhaf,0.7889142857142857,0.7599135004335237,0.24008649956647632,0.17894736842105263,0.30891003144197193,0.24264796647650028,,0.5029192634054388
XGB,None,Myerson,0.7889142857142857,0.616331106308177,0.383668893691823,0.4947368421052632,0.8333526302958895,0.5705861220309918,,0.7251862306849419
XGB,None,Owen-Domain,0.7889142857142857,0.2443373002566839,0.7556626997433161,0.11578947368421051,0.8975581455674845,0.5896701063316703,1.9164156383074786,0.7381208015553226
XGB,None,Owen-Data,0.7889142857142857,0.37639444623236706,0.6236055537676329,0.3052631578947368,0.8053251108283884,0.5780646074969193,2.203572973733527,0.7302549311584963
XGB,None,Owen-Model,0.7889142857142857,0.31351460321074576,0.6864853967892542,0.22105263157894736,0.8027470359917778,0.5700950214533265,1.8670285438298206,0.7248533769618297
XGB,None,R-Myerson,0.7889142857142857,0.15713022467902776,0.8428697753209722,1.0,1.0,0.9476232584403239,,0.9807310626663048
XGB,SMOTE,SHAP,0.7867047619047619,0.726373553276062,0.273626446723938,0.768421052631579,0.9574359059333801,0.6664944887161255,,0.6817790304411049
XGB,SMOTE,Banzhaf,0.7867047619047619,0.7603025928027468,0.2396974071972532,0.17894736842105263,0.3363810687181008,0.25167528144546886,,0.400626607011023
XGB,SMOTE,Myerson,0.7867047619047619,0.5941273001913173,0.4058726998086827,0.38947368421052636,0.9050532791795242,0.566799887732911,,0.6142089223601706
XGB,SMOTE,Owen-Domain,0.7867047619047619,0.19271122321993192,0.807288776780068,0.5578947368421052,0.9215724940660713,0.7622520025627482,1.9164156383074786,0.7466806950885945
XGB,SMOTE,Owen-Data,0.7867047619047619,0.3838627990227198,0.6161372009772802,0.34736842105263155,0.8196582699211037,0.5943879639836718,2.203572973733527,0.6329073200228768
XGB,SMOTE,Owen-Model,0.7867047619047619,0.2653567416678705,0.7346432583321295,0.2631578947368421,0.8166310472840926,0.6048107334510214,2.181533795029669,0.6399715707693144
XGB,SMOTE,R-Myerson,0.7867047619047619,0.07281864417254691,0.9271813558274531,1.0,1.0,0.975727118609151,,0.8913679351355664
XGB,SMOTETomek,SHAP,0.787695238095238,0.7134827375411987,0.28651726245880127,0.831578947368421,0.9596007466316223,0.6925656795501709,,0.7480474103295632
XGB,SMOTETomek,Banzhaf,0.787695238095238,0.7725316023354677,0.2274683976645323,0.13684210526315788,0.39741158877778276,0.25390736390182433,,0.45073753089135876
XGB,SMOTETomek,Myerson,0.787695238095238,0.5995482486873077,0.4004517513126923,0.3263157894736842,0.910407146566156,0.5457248957841774,,0.6485229874229721
XGB,SMOTETomek,Owen-Domain,0.787695238095238,0.17491984488266532,0.8250801551173347,0.5578947368421052,0.9271823789734602,0.7700524236443,1.9164156383074786,0.800565677333426
XGB,SMOTETomek,Owen-Data,0.787695238095238,0.3770140517031079,0.622985948296892,0.34736842105263155,0.8273579339211093,0.5992374344235443,2.203572973733527,0.6847922335394794
XGB,SMOTETomek,Owen-Model,0.787695238095238,0.2659552090560548,0.7340447909439451,0.2631578947368421,0.8136093273396465,0.6036040043401445,2.1903985000783615,0.687751767940518
XGB,SMOTETomek,R-Myerson,0.787695238095238,0.0718428328641112,0.9281571671358888,1.0,1.0,0.9760523890452961,,0.9401864771514387
XGB,CostSensitive,SHAP,0.7888380952380952,0.6765763163566589,0.32342368364334106,0.7894736842105262,0.9612746238708496,0.6913906335830688,,0.8033257095935351
XGB,CostSensitive,Banzhaf,0.7888380952380952,0.720234900017268,0.279765099982732,0.19999999999999998,0.39110741262784393,0.29029083753685864,,0.531471905046523
XGB,CostSensitive,Myerson,0.7888380952380952,0.5336022682484489,0.4663977317515511,0.6210526315789472,0.8636868924175495,0.6503790852493492,,0.7755292720116997
XGB,CostSensitive,Owen-Domain,0.7888380952380952,0.1905190837078535,0.8094809162921465,0.5578947368421052,0.9738268875770936,0.7804008469037818,1.9164156383074786,0.8636542497057549
XGB,CostSensitive,Owen-Data,0.7888380952380952,0.34754893232147444,0.6524510676785256,0.3052631578947368,0.8435328209616522,0.6004156821783049,2.203572973733527,0.7416655270114046
XGB,CostSensitive,Owen-Model,0.7888380952380952,0.2767174060431041,0.7232825939568959,0.17894736842105263,0.6650303069168381,0.5224200897649288,1.9599260096367468,0.6888023773801055
XGB,CostSensitive,R-Myerson,0.7888380952380952,0.08809772087187907,0.9119022791281209,1.0,1.0,0.9706340930427069,,0.9925888246518786
LGB,None,SHAP,0.7823238095238096,0.7320695879466693,0.2679304120533307,0.8105263157894737,0.9580249403246852,0.6788272227224965,,0.47518473964500574
LGB,None,Banzhaf,0.7823238095238096,0.69662750353156,0.30337249646844,0.17894736842105263,0.3484919819282893,0.27693728227259395,,0.20279539814583686
LGB,None,Myerson,0.7823238095238096,0.6823571706075418,0.31764282939245825,0.3473684210526316,0.6397679217785587,0.4349263907412162,,0.3098758320866143
LGB,None,Owen-Domain,0.7823238095238096,0.34536553263357656,0.6546344673664235,0.07368421052631575,0.7868991800474906,0.50507261931341,1.9164156383074786,0.35741891064200265
LGB,None,Owen-Data,0.7823238095238096,0.30539473221718416,0.6946052677828158,0.43157894736842106,0.8337141370582032,0.65329945073648,2.203572973733527,0.45788275643679766
LGB,None,Owen-Model,0.7823238095238096,0.2308319707847425,0.7691680292152575,0.26315789473684215,0.6529542022434099,0.5617600420651698,1.7442600379210746,0.3958400010961482
LGB,None,R-Myerson,0.7823238095238096,0.16572968377955458,0.8342703162204455,1.0,1.0,0.9447567720734817,,0.6554240727116545
LGB,SMOTE,SHAP,0.7787238095238095,0.7005626720118069,0.2994373279881931,0.7473684210526316,0.9514700671329527,0.6660919387245925,,0.2899177929583925
LGB,SMOTE,Banzhaf,0.7787238095238095,0.7790512229383486,0.2209487770616514,0.19999999999999998,0.29407149130533705,0.2383400894556628,,0.0
LGB,SMOTE,Myerson,0.7787238095238095,0.5479491420171783,0.45205085798282174,0.4736842105263159,0.9025051347748295,0.6094134010946557,,0.2515027245820322
LGB,SMOTE,Owen-Domain,0.7787238095238095,0.21294848424939267,0.7870515157506073,0.41052631578947363,0.9370999890674626,0.7115592735358478,1.9164156383074786,0.320734233337805
LGB,SMOTE,Owen-Data,0.7787238095238095,0.3306325934470304,0.6693674065529696,0.3052631578947368,0.8377598526195897,0.6041301390224321,2.203572973733527,0.24792188283414102
LGB,SMOTE,Owen-Model,0.7787238095238095,0.2539982254462935,0.7460017745537064,0.24210526315789474,0.8283013487040544,0.6054694621385519,2.1028293630226167,0.24882963718411577
LGB,SMOTE,R-Myerson,0.7787238095238095,0.09460107926125383,0.9053989207387462,1.0,1.0,0.9684663069129154,,0.49485836684994405
LGB,SMOTETomek,SHAP,0.7826095238095238,0.7022776184969715,0.29772238150302854,0.768421052631579,0.9506590786261698,0.6722675042535924,,0.4847574306177373
LGB,SMOTETomek,Banzhaf,0.7826095238095238,0.6836397486051237,0.31636025139487634,0.2210526315789474,0.377791272119685,0.30506805169783624,,0.23588029532903787
LGB,SMOTETomek,Myerson,0.7826095238095238,0.5408853491505574,0.4591146508494426,0.5368421052631578,0.8950747376661615,0.6303438312595873,,0.4563427814048714
LGB,SMOTETomek,Owen-Domain,0.7826095238095238,0.2097724638918105,0.7902275361081895,1.0,0.9476554647466168,0.9126276669516021,1.9164156383074786,0.6476665752622903
LGB,SMOTETomek,Owen-Data,0.7826095238095238,0.3231476328762403,0.6768523671237596,0.34736842105263155,0.8478935670913823,0.6240381184225912,2.203572973733527,0.4520689521932484
LGB,SMOTETomek,Owen-Model,0.7826095238095238,0.2544286813639156,0.7455713186360844,0.3473684210526316,0.8310165166091444,0.6413187520992868,2.1766162488506526,0.46378126433177586
LGB,SMOTETomek,R-Myerson,0.7826095238095238,0.07690780146974352,0.9230921985302565,1.0,1.0,0.9743640661767521,,0.6895097154828269
LGB,CostSensitive,SHAP,0.7797142857142857,0.7459403925809643,0.25405960741903566,0.8736842105263157,0.9527885783390456,0.6935107987614657,,0.35709958393225444
LGB,CostSensitive,Banzhaf,0.7797142857142857,0.6606483813229683,0.3393516186770317,0.2842105263157895,0.356371638440759,0.32664459447786004,,0.10844831465379952
LGB,CostSensitive,Myerson,0.7797142857142857,0.6756060911703887,0.3243939088296113,0.3263157894736843,0.6115914857090322,0.42076706133744257,,0.17224179189151834
LGB,CostSensitive,Owen-Domain,0.7797142857142857,0.37675706981219576,0.6232429301878042,-0.05263157894736847,0.7176344319092629,0.4294152610498995,1.9164156383074786,0.17810329074414538
LGB,CostSensitive,Owen-Data,0.7797142857142857,0.3503632935566185,0.6496367064433815,0.45263157894736833,0.8104353796270832,0.6375678883392777,2.203572973733527,0.3191831023343621
LGB,CostSensitive,Owen-Model,0.7797142857142857,0.27803862458670126,0.7219613754132987,0.13684210526315788,0.8752636564063413,0.5780223790275993,1.7273614878892976,0.2788248837323154
LGB,CostSensitive,R-Myerson,0.7797142857142857,0.16983993305223927,0.8301600669477607,1.0,1.0,0.9433866889825868,,0.5264582126096852
