Method1,Method2,Wilcoxon_stat,p_value,Significant,Cliff's_delta,Effect_size
Banzhaf,Myerson,0.0,0.00390625,✓,-0.5555555555555556,large
Banzhaf,Owen-Data,0.0,0.00390625,✓,-0.6296296296296297,large
Banzhaf,Owen-Domain,0.0,0.00390625,✓,-0.6790123456790124,large
Banzhaf,Owen-Model,0.0,0.00390625,✓,-0.6049382716049383,large
Banzhaf,R-Myerson,0.0,0.00390625,✓,-0.8765432098765432,large
Banzhaf,SHAP,0.0,0.00390625,✓,-0.6049382716049383,large
Myerson,Owen-Data,12.0,0.25,✗,-0.06172839506172839,negligible
Myerson,Owen-Domain,0.0,0.00390625,✓,-0.35802469135802467,medium
Myerson,Owen-Model,16.0,0.49609375,✗,-0.037037037037037035,negligible
Myerson,R-Myerson,0.0,0.00390625,✓,-0.6790123456790124,large
Myerson,SHAP,0.0,0.00390625,✓,-0.25925925925925924,small
Owen-Data,Owen-Domain,8.0,0.09765625,✗,-0.35802469135802467,medium
Owen-Data,Owen-Model,10.0,0.1640625,✗,0.06172839506172839,negligible
Owen-Data,R-Myerson,0.0,0.00390625,✓,-0.654320987654321,large
Owen-Data,SHAP,1.0,0.0078125,✓,-0.20987654320987653,small
Owen-Domain,Owen-Model,4.0,0.02734375,✓,0.4074074074074074,medium
Owen-Domain,R-Myerson,0.0,0.00390625,✓,-0.48148148148148145,large
Owen-Domain,SHAP,12.0,0.25,✗,0.13580246913580246,negligible
Owen-Model,R-Myerson,0.0,0.00390625,✓,-0.6790123456790124,large
Owen-Model,SHAP,0.0,0.00390625,✓,-0.30864197530864196,small
R-Myerson,SHAP,0.0,0.00390625,✓,0.5802469135802469,large
