Method1,Method2,Wilcoxon_stat,p_value,Significant,Cliff's_delta,Effect_size
Banzhaf,Myerson,1.0,0.000977,✓,"'-0.180556",small
Banzhaf,Owen-Data,0.0,0.000488,✓,"'-0.875000",large
Banzhaf,Owen-Domain,0.0,0.000488,✓,"'-0.666667",large
Banzhaf,Owen-Model,33.0,0.677246,✗,"'-0.069444",negligible
Banzhaf,R-Myerson,0.0,0.000488,✓,"'-0.861111",large
Banzhaf,SHAP,0.0,0.000488,✓,"'-0.347222",medium
Myerson,Owen-Data,0.0,0.000488,✓,"'-0.763889",large
Myerson,Owen-Domain,0.0,0.000488,✓,"'-0.583333",large
Myerson,Owen-Model,29.0,0.458984,✗,0.069444,negligible
Myerson,R-Myerson,0.0,0.000488,✓,"'-0.763889",large
Myerson,SHAP,7.0,0.008789,✓,"'-0.152778",small
Owen-Data,Owen-Domain,0.0,0.000488,✓,0.333333,medium
Owen-Data,Owen-Model,0.0,0.000488,✓,0.833333,large
Owen-Data,R-Myerson,33.0,0.668945,✗,"'-0.027778",negligible
Owen-Data,SHAP,0.0,0.000488,✓,0.708333,large
Owen-Domain,Owen-Model,0.0,0.000488,✓,0.583333,large
Owen-Domain,R-Myerson,0.0,0.000488,✓,"'-0.333333",medium
Owen-Domain,SHAP,0.0,0.000488,✓,0.486111,large
Owen-Model,R-Myerson,0.0,0.000488,✓,"'-0.847222",large
Owen-Model,SHAP,2.0,0.001465,✓,"'-0.263889",small
R-Myerson,SHAP,0.0,0.000488,✓,0.736111,large
