Model,Sampler,Method,AUC,CV,Stability,Kuncheva,Cosine,I,Q,S(α=0.5)
RF,None,SHAP,0.7803542804347352,0.6640263809175296,0.33597361908247036,0.8861111111111111,0.963748750984644,0.7286111603927418,,0.6307963644182595
RF,None,Banzhaf,0.7803542804347352,0.48999593761216165,0.5100040623878384,0.449537037037037,0.3661883295526771,0.44190980965918414,,0.3476340393773067
RF,None,Myerson,0.7803542804347352,0.5624604730532965,0.4375395269467035,0.7152777777777777,0.7800538012893221,0.6442903686712678,,0.5475164239085414
RF,None,Owen-Domain,0.7803542804347352,0.3734565502374331,0.6265434497625668,0.9430555555555555,0.9508907717951325,0.8401632590377515,2.147538349075645,0.740971470097737
RF,None,Owen-Data,0.7803542804347352,0.40264678728832654,0.5973532127116734,1.0,0.946150577814118,0.8478345968419304,10.679198163355446,0.7485481133303131
RF,None,Owen-Model,0.7803542804347352,0.3175097702708293,0.6824902297291707,0.2407407407407407,0.4715383889531271,0.4649231198076795,2.964950106985891,0.3703632744920464
RF,None,R-Myerson,0.7803542804347352,0.34923633049936226,0.6507636695006378,1.0,0.9999999999999999,0.8835878898335459,,0.7838600696412021
RF,SMOTE,SHAP,0.7711160733312632,0.6869778526193089,0.3130221473806911,0.7722222222222221,0.9680912594340393,0.6844452096789841,,0.2566583386493641
RF,SMOTE,Banzhaf,0.7711160733312632,0.47118883286497304,0.528811167135027,0.4875,0.5629949833051177,0.5264353834800481,,0.10059897704772175
RF,SMOTE,Myerson,0.7711160733312632,0.5930036500997518,0.40699634990024824,0.5064814814814814,0.7465176075051398,0.5533318129622897,,0.1271633984848898
RF,SMOTE,Owen-Domain,0.7711160733312632,0.301743658424011,0.698256341575989,0.5444444444444444,0.9089364007634936,0.7172123955946423,2.147538349075645,0.28902104822567765
RF,SMOTE,Owen-Data,0.7711160733312632,0.3660485948939239,0.6339514051060762,1.0,0.9373163326039745,0.8570892459033501,10.679198163355446,0.4271712663933907
RF,SMOTE,Owen-Model,0.7711160733312632,0.24078902339852054,0.7592109766014794,0.2787037037037037,0.7014259492984317,0.5797802098678716,2.194067180152887,0.15328531783486346
RF,SMOTE,R-Myerson,0.7711160733312632,0.22465053469660504,0.775349465303395,1.0,1.0,0.9251164884344649,,0.4943587843871125
RF,SMOTETomek,SHAP,0.7708167250915589,0.6805180035132512,0.3194819964867488,0.8101851851851851,0.9690307185377188,0.6995659667365508,,0.26088260167673677
RF,SMOTETomek,Banzhaf,0.7708167250915589,0.4510770605393178,0.5489229394606823,0.3736111111111111,0.5796719732608154,0.5007353412775363,,0.06450633051419047
RF,SMOTETomek,Myerson,0.7708167250915589,0.5822810017691047,0.4177189982308953,0.4875,0.7726193671247241,0.5592794551185398,,0.12232777903637364
RF,SMOTETomek,Owen-Domain,0.7708167250915589,0.2868112843761383,0.7131887156238617,0.6583333333333332,0.9249414600092506,0.7654878363221485,2.147538349075645,0.32599073533269524
RF,SMOTETomek,Owen-Data,0.7708167250915589,0.3547086639733429,0.6452913360266571,1.0,0.9382488392385145,0.861180058421724,10.679198163355446,0.4205017379098431
RF,SMOTETomek,Owen-Model,0.7708167250915589,0.23558236741322672,0.7644176325867733,0.2787037037037037,0.6649414395082038,0.5693542585995602,2.1175069236550916,0.1322782196977699
RF,SMOTETomek,R-Myerson,0.7708167250915589,0.23581013048300106,0.764189869516999,1.0,1.0,0.921396623172333,,0.47997499269966
RF,CostSensitive,SHAP,0.7785166800667765,0.6217084509776603,0.37829154902233975,0.8671296296296296,0.9701169667777355,0.7385127151432349,,0.5748314843302761
RF,CostSensitive,Banzhaf,0.7785166800667765,0.433765136183468,0.566234863816532,0.4115740740740741,0.3986898123014104,0.4588329167306721,,0.2986040379549539
RF,CostSensitive,Myerson,0.7785166800667765,0.5579699580593895,0.44203004194061046,0.5064814814814814,0.6889384189772373,0.545816647466443,,0.384514046306352
RF,CostSensitive,Owen-Domain,0.7785166800667765,0.3105170892361595,0.6894829107638405,0.8291666666666666,0.9027734349996912,0.8071410041433993,2.147538349075645,0.6426126295085168
RF,CostSensitive,Owen-Data,0.7785166800667765,0.3531275165787485,0.6468724834212515,1.0,0.9395352312417549,0.8621359048876688,10.679198163355446,0.6969286762250734
RF,CostSensitive,Owen-Model,0.7785166800667765,0.2841419682245486,0.7158580317754514,0.3356481481481481,0.6237304697270248,0.558412216550208,2.8286353750617224,0.39695413637864263
RF,CostSensitive,R-Myerson,0.7785166800667765,0.17498430760204453,0.8250156923979555,1.0,1.0,0.941671897465985,,0.775482880888888
XGB,None,SHAP,0.7845362421633608,0.643022358417511,0.356977641582489,0.9430555555555555,0.9595562815666199,0.7531964778900146,,0.8046971167370349
XGB,None,Banzhaf,0.7845362421633608,0.4535137451036877,0.5464862548963123,0.449537037037037,0.48488052021473976,0.493634604049363,,0.5483392603800553
XGB,None,Myerson,0.7845362421633608,0.6755060333712267,0.3244939666287733,0.5254629629629629,0.6258998233222185,0.4919522509713182,,0.5466776741758045
XGB,None,Owen-Domain,0.7845362421633608,0.3215113036803459,0.6784886963196541,0.6203703703703702,0.8580399457354996,0.7189663374751746,2.147538349075645,0.7708895112913523
XGB,None,Owen-Data,0.7845362421633608,0.3104434545942899,0.6895565454057101,1.0,0.9383413972641222,0.8759659808899442,10.679198163355446,0.9259511597495126
XGB,None,Owen-Model,0.7845362421633608,0.27778365491372703,0.722216345086273,0.4305555555555555,0.36530648943006766,0.5060261300239653,2.4683235509143278,0.5605778260400918
XGB,None,R-Myerson,0.7845362421633608,0.23870995151838187,0.7612900484816181,1.0,1.0,0.9204300161605392,,0.9698663334161532
XGB,SMOTE,SHAP,0.772127840970364,0.5724266767501831,0.4275733232498169,0.9050925925925926,0.963329017162323,0.7653316259384155,,0.37274451871396
XGB,SMOTE,Banzhaf,0.772127840970364,0.4862061217194063,0.5137938782805938,0.5064814814814813,0.459986732187841,0.4934206973166386,,0.10419004362834669
XGB,SMOTE,Myerson,0.772127840970364,0.6192153860575125,0.3807846139424875,0.6013888888888888,0.8156337360306737,0.5992690796206832,,0.20873183932742334
XGB,SMOTE,Owen-Domain,0.772127840970364,0.26164372654100365,0.7383562734589963,0.5444444444444444,0.9527620425457529,0.7451875868163979,2.147538349075645,0.35284913650207983
XGB,SMOTE,Owen-Data,0.772127840970364,0.33298667554383293,0.6670133244561671,0.9430555555555555,0.931306826978615,0.8471252356634458,10.679198163355446,0.45352847262269524
XGB,SMOTE,Owen-Model,0.772127840970364,0.21660480473420488,0.7833951952657952,0.22175925925925924,0.6316994601332204,0.5456179715527583,2.520058032704097,0.1557429975843807
XGB,SMOTE,R-Myerson,0.772127840970364,0.21587782683660994,0.7841221731633901,1.0,1.0,0.9280407243877966,,0.5334451450080492
XGB,SMOTETomek,SHAP,0.7719118499798612,0.6217676997184753,0.37823230028152466,0.9050925925925926,0.9627707004547119,0.7486985325813293,,0.34858918875165307
XGB,SMOTETomek,Banzhaf,0.7719118499798612,0.49779288479600575,0.5022071152039942,0.39259259259259255,0.43119565236396723,0.4419984533868513,,0.04567499845311517
XGB,SMOTETomek,Myerson,0.7719118499798612,0.6185476257728524,0.3814523742271476,0.6583333333333332,0.827190307384802,0.6223253383150943,,0.22377593823950379
XGB,SMOTETomek,Owen-Domain,0.7719118499798612,0.2468853637936989,0.753114636206301,0.5444444444444444,0.9519945864831035,0.7498512223779497,2.147538349075645,0.3497276498088712
XGB,SMOTETomek,Owen-Data,0.7719118499798612,0.32676030054790417,0.6732396994520958,1.0,0.931728729282017,0.8683228095780376,10.679198163355446,0.4667368302575713
XGB,SMOTETomek,Owen-Model,0.7719118499798612,0.20004759173806774,0.7999524082619323,0.20277777777777775,0.7383060611506047,0.5803454157301049,2.5569992705230287,0.18231421350821028
XGB,SMOTETomek,R-Myerson,0.7719118499798612,0.21494743596349059,0.7850525640365094,1.0,1.0,0.9283508546788364,,0.5260238924737585
XGB,CostSensitive,SHAP,0.7847920929341226,0.6843982934951782,0.3156017065048218,0.9050925925925926,0.9596343040466309,0.7267762422561646,,0.7877566372809865
XGB,CostSensitive,Banzhaf,0.7847920929341226,0.4663610866175891,0.5336389133824109,0.4115740740740741,0.5267166268910713,0.49064320478251877,,0.5545384130244878
XGB,CostSensitive,Myerson,0.7847920929341226,0.7029578813055873,0.29704211869441266,0.5254629629629629,0.6153361994549703,0.4792804270374486,,0.5433158967824635
XGB,CostSensitive,Owen-Domain,0.7847920929341226,0.3260241299854098,0.6739758700145901,0.6203703703703702,0.8545136276422437,0.7162866226757347,2.147538349075645,0.7773965009872794
XGB,CostSensitive,Owen-Data,0.7847920929341226,0.37124780206222685,0.6287521979377731,1.0,0.9384232682085178,0.855725155382097,10.679198163355446,0.9151138121210041
XGB,CostSensitive,Owen-Model,0.7847920929341226,0.2849270207617024,0.7150729792382976,0.3356481481481481,0.4839006288248955,0.5115405854037803,2.4631608636105295,0.5751778375296113
XGB,CostSensitive,R-Myerson,0.7847920929341226,0.2398184534962655,0.7601815465037345,1.0,1.0,0.9200605155012447,,0.9786550200960404
LGB,None,SHAP,0.7843695534641684,0.5785637228796269,0.4214362771203731,0.8481481481481481,0.9371563646789501,0.7355802633158237,,0.7813346994830713
LGB,None,Banzhaf,0.7843695534641684,0.46083522801094035,0.5391647719890597,0.3736111111111111,0.3934925058093355,0.4354227963031687,,0.48488235972170785
LGB,None,Myerson,0.7843695534641684,0.6085266543063219,0.3914733456936781,0.5254629629629629,0.6966394120744285,0.5378585735770232,,0.5860536753992476
LGB,None,Owen-Domain,0.7843695534641684,0.3360134132508599,0.6639865867491401,0.6013888888888889,0.9221884425276042,0.7291879727218777,2.147538349075645,0.7750213149723673
LGB,None,Owen-Data,0.7843695534641684,0.37340072023584026,0.6265992797641597,1.0,0.938965393595745,0.8551882244533016,10.679198163355446,0.8994662265318274
LGB,None,Owen-Model,0.7843695534641684,0.31466740451876907,0.6853325954812309,0.2407407407407407,0.3884407224660576,0.4381713528960097,2.5241495861261196,0.48759698828325515
LGB,None,R-Myerson,0.7843695534641684,0.21026317303505754,0.7897368269649425,1.0,1.0,0.9299122756549807,,0.9732678881584953
LGB,SMOTE,SHAP,0.7725275739382154,0.6044069107755213,0.39559308922447867,0.924074074074074,0.9681539961631224,0.7626070531538917,,0.384354907442568
LGB,SMOTE,Banzhaf,0.7725275739382154,0.4625088169510415,0.5374911830489585,0.4685185185185185,0.4402056789101216,0.4820717934925328,,0.10728255958501787
LGB,SMOTE,Myerson,0.7725275739382154,0.5281245117042266,0.4718754882957734,0.5254629629629629,0.871238937604199,0.6228591296209784,,0.24633202458562561
LGB,SMOTE,Owen-Domain,0.7725275739382154,0.226012174013982,0.773987825986018,0.3166666666666666,0.9830110621098253,0.6912218515875033,2.147538349075645,0.3138508808750725
LGB,SMOTE,Owen-Data,0.7725275739382154,0.3352176088531814,0.6647823911468186,1.0,0.9397384706028477,0.868173620583222,10.679198163355446,0.488618366974232
LGB,SMOTE,Owen-Model,0.7725275739382154,0.23152606232087333,0.7684739376791266,0.18379629629629626,0.6273612841193773,0.5265438393649333,2.179159468571051,0.15120564497103617
LGB,SMOTE,R-Myerson,0.7725275739382154,0.21578545574469696,0.784214544255303,1.0,1.0,0.9280715147517675,,0.5477768848341098
LGB,SMOTETomek,SHAP,0.7723923344766512,0.5491042192984719,0.45089578070152814,0.924074074074074,0.9679808532988546,0.7809835693581522,,0.39766609459564595
