Method1,Method2,Wilcoxon_stat,p_value,Significant,Cliff's_delta,Effect_size
Banzhaf,Myerson,0.0,0.00048828125,✓,-0.4305555555555556,medium
Banzhaf,Owen-Data,0.0,0.00048828125,✓,-0.625,large
Banzhaf,Owen-Domain,0.0,0.00048828125,✓,-0.5694444444444444,large
Banzhaf,Owen-Model,4.0,0.00341796875,✓,-0.3333333333333333,medium
Banzhaf,R-Myerson,0.0,0.00048828125,✓,-0.7361111111111112,large
Banzhaf,SHAP,0.0,0.00048828125,✓,-0.5555555555555556,large
Myerson,Owen-Data,0.0,0.00048828125,✓,-0.5694444444444444,large
Myerson,Owen-Domain,0.0,0.00048828125,✓,-0.5,large
Myerson,Owen-Model,15.0,0.0625,✗,0.18055555555555555,small
Myerson,R-Myerson,0.0,0.00048828125,✓,-0.5833333333333334,large
Myerson,SHAP,0.0,0.00048828125,✓,-0.4444444444444444,medium
Owen-Data,Owen-Domain,0.0,0.00048828125,✓,0.375,medium
Owen-Data,Owen-Model,0.0,0.00048828125,✓,0.625,large
Owen-Data,R-Myerson,0.0,0.00048828125,✓,-0.3472222222222222,medium
Owen-Data,SHAP,0.0,0.00048828125,✓,0.3888888888888889,medium
Owen-Domain,Owen-Model,0.0,0.00048828125,✓,0.5,large
Owen-Domain,R-Myerson,0.0,0.00048828125,✓,-0.3888888888888889,medium
Owen-Domain,SHAP,39.0,1.0,✗,-0.09722222222222222,negligible
Owen-Model,R-Myerson,0.0,0.00048828125,✓,-0.6666666666666666,large
Owen-Model,SHAP,0.0,0.00048828125,✓,-0.4722222222222222,medium
R-Myerson,SHAP,0.0,0.00048828125,✓,0.3888888888888889,medium
