Method1,Method2,Wilcoxon_stat,p_value,Significant,Cliff's_delta,Effect_size
Banzhaf,Myerson,3.0,0.00244140625,✓,-0.3194444444444444,small
Banzhaf,Owen-Data,0.0,0.00048828125,✓,-0.6944444444444444,large
Banzhaf,Owen-Domain,0.0,0.00048828125,✓,-0.6111111111111112,large
Banzhaf,Owen-Model,8.0,0.01220703125,✓,-0.3055555555555556,small
Banzhaf,R-Myerson,0.0,0.00048828125,✓,-0.7361111111111112,large
Banzhaf,SHAP,0.0,0.00048828125,✓,-0.6111111111111112,large
Myerson,Owen-Data,0.0,0.00048828125,✓,-0.5833333333333334,large
Myerson,Owen-Domain,0.0,0.00048828125,✓,-0.5138888888888888,large
Myerson,Owen-Model,15.0,0.0625,✗,0.18055555555555555,small
Myerson,R-Myerson,0.0,0.00048828125,✓,-0.625,large
Myerson,SHAP,0.0,0.00048828125,✓,-0.4861111111111111,large
Owen-Data,Owen-Domain,0.0,0.00048828125,✓,0.375,medium
Owen-Data,Owen-Model,0.0,0.00048828125,✓,0.6944444444444444,large
Owen-Data,R-Myerson,0.0,0.00048828125,✓,-0.3611111111111111,medium
Owen-Data,SHAP,0.0,0.00048828125,✓,0.3888888888888889,medium
Owen-Domain,Owen-Model,0.0,0.00048828125,✓,0.5138888888888888,large
Owen-Domain,R-Myerson,0.0,0.00048828125,✓,-0.4861111111111111,large
Owen-Domain,SHAP,39.0,1.0,✗,-0.09722222222222222,negligible
Owen-Model,R-Myerson,0.0,0.00048828125,✓,-0.8055555555555556,large
Owen-Model,SHAP,0.0,0.00048828125,✓,-0.5416666666666666,large
R-Myerson,SHAP,0.0,0.00048828125,✓,0.4166666666666667,medium
