Method1,Method2,Wilcoxon_stat,p_value,Significant,Cliff's_delta,Effect_size
Banzhaf,Myerson,0.0,0.00390625,✓,-0.4567901234567901,medium
Banzhaf,Owen-Data,0.0,0.00390625,✓,-0.5061728395061729,large
Banzhaf,Owen-Domain,0.0,0.00390625,✓,-0.5555555555555556,large
Banzhaf,Owen-Model,0.0,0.00390625,✓,-0.38271604938271603,medium
Banzhaf,R-Myerson,0.0,0.00390625,✓,-0.7037037037037037,large
Banzhaf,SHAP,0.0,0.00390625,✓,-0.4567901234567901,medium
Myerson,Owen-Data,19.0,0.71875,✗,-0.012345679012345678,negligible
Myerson,Owen-Domain,0.0,0.00390625,✓,-0.35802469135802467,medium
Myerson,Owen-Model,0.0,0.00390625,✓,0.35802469135802467,medium
Myerson,R-Myerson,0.0,0.00390625,✓,-0.4567901234567901,medium
Myerson,SHAP,15.0,0.40625,✗,-0.16049382716049382,small
Owen-Data,Owen-Domain,0.0,0.00390625,✓,-0.35802469135802467,medium
Owen-Data,Owen-Model,7.0,0.0703125,✗,0.25925925925925924,small
Owen-Data,R-Myerson,0.0,0.00390625,✓,-0.5555555555555556,large
Owen-Data,SHAP,17.0,0.578125,✗,-0.06172839506172839,negligible
Owen-Domain,Owen-Model,0.0,0.00390625,✓,0.35802469135802467,medium
Owen-Domain,R-Myerson,0.0,0.00390625,✓,-0.3333333333333333,medium
Owen-Domain,SHAP,0.0,0.00390625,✓,0.30864197530864196,small
Owen-Model,R-Myerson,0.0,0.00390625,✓,-0.654320987654321,large
Owen-Model,SHAP,0.0,0.00390625,✓,-0.25925925925925924,small
R-Myerson,SHAP,0.0,0.00390625,✓,0.4567901234567901,medium
